################################################################################
TIMESTAMPED TRANSCRIPT
[19:42] you
[19:44] foreign
[20:09] [Music]
[20:18] what's happening
[20:21] tonight
[20:21] [Music]
[20:23] [Applause]
[20:30] [Music]
[20:38] [Music]
[20:42] [Applause]
[20:51] [Music]
[20:52] [Applause]
[20:55] explore yes
[21:00] singing
[21:01] [Music]
[21:03] [Applause]
[21:07] [Music]
[21:10] [Applause]
[21:13] [Music]
[21:13] [Applause]
[21:19] [Music]
[21:26] yes
[21:28] [Music]
[21:36] [Music]
[21:42] foreign
[21:45] [Music]
[22:22] the ministry of the pastor white is
[22:26] going to pray we bind all the spirits
[22:29] whatever the devil is planning because
[22:32] we know when God plant called the devil
[22:34] plant everything that is
[22:45] Hallelujah
[22:48] God bless you
[22:52] amen
[23:06] to welcome everyone
[23:11] [Music]
[23:15] just come through
[23:18] as we continue with the same song God
[23:21] bless you
[23:30] oh thank you Jesus
[23:34] [Music]
[23:39] oh thank you Jesus
[23:43] [Music]
[23:48] oh thank you my Lord
[23:52] foreign
[23:56] [Music]
[24:25] amen
[24:28] I'm going to call the musical items
[24:31] we will start with Systema City
[24:35] then thereafter we have soshanguve
[24:38] sisters
[24:40] then we have sister mogeti system and
[24:43] sisters
[24:46] so we'll start with Systema City to come
[24:48] forth God bless you
[24:58] [Music]
[25:00] foreign
[25:06] [Music]
[25:11] [Music]
[25:29] foreign
[25:33] is more
[25:37] when I'm walking
[25:40] dead
[25:41] [Music]
[25:47] yes
[25:48] [Music]
[26:03] it is
[26:08] [Music]
[26:16] Hallelujah
[26:19] [Music]
[26:31] [Music]
[26:42] to me
[26:56] foreign
[26:57] [Music]
[27:19] [Music]
[27:28] foreign
[28:08] Hallelujah
[28:10] Hallelujah
[28:34] foreign
[29:01] okay
[29:17] so it is
[29:28] normal people
[29:38] tonight
[29:47] [Applause]
[29:58] it says
[30:03] I mean
[30:07] I am a prime minister
[30:10] amen foreign
[30:36] foreign
[31:16] every
[31:26] restaurant
[31:48] [Applause]
[31:53] you may come first
[31:55] and
[31:57] unfortunately
[31:59] we are still waiting for them to select
[32:02] our daily
[32:04] genocide
[32:28] foreign
[32:47] [Music]
[33:03] [Music]
[33:06] foreign
[33:15] [Music]
[33:38] just a long distance
[33:45] [Music]
[34:00] [Music]
[34:16] foreign
[34:21] [Music]
[34:47] learning
[34:52] [Music]
[35:20] la la la la
[35:23] La La La Land
[35:27] [Music]
[35:58] my father
[36:01] [Music]
[36:31] foreign
[36:36] [Music]
[37:03] foreign
[37:05] [Music]
[37:19] [Music]
[37:33] there's a deep sound
[37:36] [Music]
[37:42] I have no free
[37:45] wants Maybe
[37:48] My Father's Promise
[37:51] he's holding me
[37:55] [Music]
[38:10] in my life
[38:14] [Music]
[38:40] down
[38:41] [Music]
[38:44] I'm in cartoon
[38:51] [Music]
[38:57] then will my soul
[39:00] [Music]
[39:03] when he needs likeness
[39:06] [Music]
[39:09] and with my loved ones
[39:14] I feel so
[39:17] at home
[39:22] they too attest that and they were tried
[39:28] yet on this promise
[39:31] [Music]
[39:39] said fast
[39:41] and two
[39:44] [Music]
[39:47] I am an
[39:50] angle in my life
[39:54] holding to
[39:57] me
[39:59] as long as
[40:04] [Music]
[40:19] Love this life
[40:21] just about
[40:24] I'm in cartoon
[40:28] [Music]
[40:47] God bless you Saints
[40:50] Hallelujah
[40:52] amen
[40:55] we are now going to invite our pasta to
[40:58] the pulpit
[41:03] we just want to apologize
[41:07] the generator was giving them a problem
[41:11] and we are seeing we are using two
[41:14] different systems
[41:16] so that's why we had shortages of mice
[41:20] so
[41:23] my song leader
[41:27] okay don't come back again
[41:30] I'm gonna ask him to
[41:33] just sing one song
[41:35] then after that song
[41:38] I believe the worship team
[41:41] will be ready
[41:45] sing our beloved song
[41:47] to welcome the pastor to the pulpit
[41:51] my brother is a wedding
[41:54] can you dance a little bit
[41:56] then after we're gonna sing a worship
[41:59] song to welcome the pastor God bless you
[42:04] [Music]
[42:21] moving
[42:25] foreign
[43:00] foreign
[43:13] [Music]
[43:14] [Applause]
[43:32] the same day
[43:42] [Music]
[44:22] foreign
[44:42] all right
[44:44] yeah
[44:49] okay baby baby
[45:09] [Music]
[45:18] foreign
[45:19] [Music]
[45:31] [Music]
[45:36] [Music]
[45:47] [Music]
[45:58] we may take our seats
[46:02] [Music]
[46:09] [Music]
[46:13] amen amen
[46:15] amen
[46:20] God bless you
[46:23] yes I just missed the opportunity you
[46:26] know yes last night I was supposed to
[46:29] meet them
[46:31] but anyhow we are together again
[46:39] our daddy here yes Baba everybody
[46:43] [Music]
[46:47] the daughter
[46:49] in law
[46:53] the bride
[46:56] yeah
[46:58] our pride the bread groom
[47:01] amen
[47:03] and our brother here
[47:09] may the Lord bless you
[47:12] your faces are happy
[47:15] yeah it's a wonderful day
[47:19] especially that I'm not going to stand
[47:21] for a long time
[47:25] we'll just take take a patch
[47:30] and there's another part for some other
[47:33] activities
[47:34] [Music]
[47:36] but we want to say we are so glad to
[47:39] participate
[47:50] those
[47:55] and going to get
[47:58] together yeah
[48:04] okay
[48:05] thank you very much
[48:09] we are just going to read the scripture
[48:13] and therefore mine is just to officiate
[48:19] it's not the preaching
[48:21] so it won't be
[48:24] a
[48:25] prolonged things
[48:27] may the Lord bless you all
[48:31] and then
[48:32] we thank even the sisters and brothers
[48:37] foreign
[48:44] I don't know
[48:46] anymore
[48:55] amen we we are just going to read the
[48:58] scripture
[49:00] and
[49:01] just to say some few words
[49:06] all right
[49:10] [Music]
[49:12] okay
[49:15] foreign
[49:24] no
[49:26] by yourself
[49:34] okay
[49:37] all right
[49:39] the family is
[49:52] God bless you
[49:55] firstly let us just
[49:57] stand up for the reading of the words
[50:03] and
[50:09] let's take this scripture today
[50:15] First Corinthians chapter 11.
[50:22] verse 7 to 12.
[50:27] we have our
[50:30] and I hear oh you are here bro
[50:35] I don't know
[50:37] if
[50:40] a chair can be arranged for you here
[50:45] or is it right the way you
[50:49] know
[50:53] yes yes yes
[50:56] okay
[50:59] um
[51:02] First Corinthians brother
[51:08] chapter 12 chapter 11.
[51:12] verse 7 to 12.
[51:16] I don't know whether you are going to
[51:19] go in two languages or one
[51:21] I don't know but
[51:23] the language
[51:25] the language yeah
[51:30] or English and so too
[51:32] okay
[51:35] all right
[51:40] [Music]
[51:50] for the man is not of the woman but the
[51:53] woman of the baby neither was the name
[51:56] of nature
[51:59] for this course or the woman is supposed
[52:02] to have power on her head because of the
[52:05] Angels nevertheless never
[52:08] The Man Without The Woman neither the
[52:11] woman without the man in the world for
[52:14] as the woman is of the man even so is
[52:17] the man also by
[52:19] all things of God
[52:22] okay
[52:24] and then we have our Elder here
[52:29] just to say a word of Prayer
[52:32] yeah after the reading of the way
[52:36] fine
[52:54] when my father everyone
[53:08] about
[53:13] that there will find
[53:15] by all means to stop whatever
[53:23] you want to explain
[53:25] the father for all
[53:35] on behalf a lot about the king never
[53:38] said
[53:41] foreign
[54:08] let us take the second scripture
[54:13] collaborative Ephesians chapter 5 verse
[54:17] 30.
[54:21] and
[54:25] I will will take it from the study
[54:31] they're not willing
[54:33] okay
[54:36] and 233
[54:46] foreign
[54:52] [Music]
[54:54] this is a great mystery but are still
[54:58] considering Christ in the church
[55:00] nevertheless let every one of you in
[55:02] particular so that his wife even as
[55:06] himself and the wife's industry whether
[55:08] it's
[55:11] okay
[55:12] you may be seated God bless you all
[55:21] well thank you sir thank you
[55:29] now you know or officiation yeah
[55:35] it's not like preaching
[55:39] now we are not here to preach
[55:43] era
[55:56] I think the
[55:58] The Crickets will need them afterwards
[56:02] but for now
[56:03] God bless you
[56:11] you know
[56:16] if you can't be happy on your wedding
[56:18] day
[56:20] you will never
[56:23] foreign
[56:27] but we are here for the restoration
[56:32] of brother
[56:36] and
[56:38] sister dogozo
[56:41] yes
[56:45] is there a great day
[56:49] they are restoration day
[56:53] you know the last time they met
[56:56] foreign
[57:07] [Music]
[57:13] [Music]
[57:29] the law of restoration
[57:34] that the two separated in Eden
[57:41] shall be restored
[57:44] amen
[57:45] now Julie
[57:47] you know brother
[57:51] this is your answer today
[57:54] amen amen
[57:56] according to the law
[57:58] of God
[58:00] you'll never marry another woman
[58:06] fella the Bible says
[58:09] the woman was created foreign
[58:38] uh
[58:39] especially this book of Ephesians
[58:44] especially that we are living in the day
[58:46] of
[58:48] destruction of marriages
[58:55] things start with joy but they end up
[59:01] destruction
[59:02] [Music]
[59:03] and there's a reason why
[59:07] we don't do it in the God's way
[59:12] it ends up a destruction
[59:16] amen amen all right now let's go
[59:20] according to God's plan
[59:24] for the true
[59:27] you know when God created
[59:29] man
[59:32] says
[59:33] the woman was created for demand
[59:39] amen amen meaning that your wife
[59:44] is from
[59:50] originally
[59:54] from God
[59:57] created specially for you
[1:00:02] now
[1:00:04] I'll tell you that
[1:00:06] a person like you take uh who was that
[1:00:10] woman there Abraham said was it Rebecca
[1:00:16] Rebecca who was that woman Rebecca
[1:00:24] all right you know how Abraham send out
[1:00:27] the elders in his house
[1:00:32] [Music]
[1:00:36] and he said go and find a wife for my
[1:00:40] son Isaac massage
[1:00:42] [Music]
[1:00:46] uh actually I was not to look for a wife
[1:00:51] that was to find them
[1:00:56] now to find the meant that they that she
[1:01:00] was there already
[1:01:08] [Music]
[1:01:12] amen
[1:01:13] and then when he arrived
[1:01:17] it was at a well
[1:01:20] in the evening time
[1:01:24] the time when women came
[1:01:28] to collect water
[1:01:31] and now
[1:01:34] one other Mysteries of the whole thing
[1:01:40] when he found
[1:01:42] Rebecca
[1:01:46] what time
[1:01:48] in the evening
[1:01:52] you see amen why because in the evening
[1:01:56] time
[1:01:59] that's when she has done all her daily
[1:02:03] duties
[1:02:07] and then if if maybe she went into town
[1:02:14] dressed for going into town
[1:02:18] arriving in the evening time
[1:02:23] you know she she should not be in her
[1:02:26] business
[1:02:28] you know evening they take off
[1:02:35] that because it's time for them to do
[1:02:38] their home duties
[1:02:41] now you realize that
[1:02:49] no she was just at home
[1:02:53] evening time to do the evening duties
[1:02:58] as a young woman
[1:03:00] when she was found
[1:03:03] it was in the evening yes
[1:03:08] she was not dressed to kill me
[1:03:12] she was just dressed to be buried
[1:03:17] or to be found
[1:03:20] because what the messenger looked for
[1:03:26] was not A well-dressed woman
[1:03:30] but was a predestinated woman
[1:03:39] who's in the plains of God
[1:03:45] all right
[1:03:48] I wish that thing
[1:03:50] would still remain the same yes
[1:03:57] created wife
[1:04:01] especially for him
[1:04:04] Now you listen before
[1:04:07] [Music]
[1:04:11] that is efficients
[1:04:16] for we are members of his body
[1:04:20] of his flesh
[1:04:22] of his bones
[1:04:25] amen amen do you agree with him
[1:04:29] for this course
[1:04:31] a man leave his father and mother
[1:04:36] and shall be joined unto his wife
[1:04:44] you know the reason why
[1:04:46] it says he shall leave his father and
[1:04:50] mother foreign
[1:04:56] amen
[1:05:03] uh
[1:05:08] he was created
[1:05:10] not born
[1:05:14] Adam was not born
[1:05:17] but was created
[1:05:21] amen okay yes now before he could get
[1:05:26] married
[1:05:28] it says for for this course
[1:05:34] shall a man leave his father
[1:05:40] okay amen
[1:05:42] amen did Adam
[1:05:43] had a father now Adam
[1:05:47] who's his father
[1:05:50] okay
[1:05:52] but fella it was something immediately
[1:05:57] that was coming
[1:06:00] now he shall leave his father and mother
[1:06:04] because originally he had no father in
[1:06:09] mind
[1:06:12] he was created
[1:06:15] all right amen that in the plan of God
[1:06:19] man was not born
[1:06:30] came by permissive permissive will of
[1:06:33] God who
[1:06:38] after the serpent has marked the plan of
[1:06:42] God in the garden
[1:06:46] foreign
[1:07:21] but the merciful god
[1:07:24] came with the law of restoration
[1:07:28] because God cannot be defeated
[1:07:33] all right amen so the law of restoration
[1:07:37] is to restore
[1:07:40] what the devil has marked says
[1:07:44] no for few minutes
[1:07:52] the only way you can marry your wife
[1:07:56] amen
[1:08:05] otherwise you can just marry me
[1:08:09] that's why we have uh
[1:08:13] the marriage officer
[1:08:15] a marriage officer and the divorce court
[1:08:18] clearly
[1:08:21] did we need divorce Quotes
[1:08:25] no it was not so much
[1:08:30] we had only the marriage officers
[1:08:37] and the Lord Jesus says when they asked
[1:08:42] him about you all this
[1:08:44] he said
[1:08:46] Moses because of the hardness of your
[1:08:50] hearts
[1:08:54] he allowed you to
[1:08:56] live your wives and marry another one so
[1:09:00] far
[1:09:10] but because of the hardiness
[1:09:15] say so
[1:09:17] and then now
[1:09:19] but he says but it was not solved
[1:09:24] brother do you know that scripture
[1:09:29] get me that scripture
[1:09:33] it was a question
[1:09:38] start with the question
[1:09:40] what did
[1:09:42] yes
[1:09:46] [Music]
[1:10:05] he said for this question
[1:10:09] through his wife and they try to shall
[1:10:12] be one flesh
[1:10:13] wherefore they
[1:10:15] are normal training but one flesh one
[1:10:19] death of God has spent together
[1:10:22] I mean
[1:10:23] we are still here men shall live is
[1:10:29] the Lord Jesus repeats
[1:10:32] and shall
[1:10:34] shall do I mean
[1:10:40] all right amen now
[1:10:43] it was to his
[1:10:46] not his girlfriend no his wife amen
[1:10:52] because when they were created
[1:10:55] it was it was not a man and girlfriends
[1:10:59] it was men and his wife
[1:11:06] all right now
[1:11:10] they ask a question
[1:11:12] why did Moses read that one
[1:11:25] they are awake
[1:11:27] he said unto them Moses because of the
[1:11:30] happiness of your heart suffered you to
[1:11:33] put away your wives but from the
[1:11:36] beginning it was
[1:11:37] amen right amen you see yeah
[1:11:42] speaking is God himself
[1:11:46] from the beginning
[1:11:48] it was not song Amen
[1:11:54] is after the beginning
[1:11:57] then these things happened
[1:12:00] even Moses had to give out
[1:12:05] a decree a decrease
[1:12:09] all right
[1:12:11] okay now the one who came was now not
[1:12:16] Moses now it won't be a simultaneous
[1:12:19] but the Creator in the form of inner
[1:12:22] body massage
[1:12:25] all right
[1:12:26] no he came but to restore
[1:12:31] that's why the true relationship
[1:12:39] in marriage can only come under the
[1:12:43] seventh seeds
[1:12:50] under the revelation of the seventh sins
[1:12:56] it brings back the it brings them back
[1:13:00] to the original
[1:13:04] is that true amen all right
[1:13:08] uh that's why
[1:13:11] if a young man
[1:13:15] getting married
[1:13:19] without Christ
[1:13:23] his disaster
[1:13:27] do you know that anything that is done
[1:13:30] without the Creator is disasters okay
[1:13:36] [Music]
[1:13:40] because it is not original
[1:13:45] amen amen you know even when going to
[1:13:49] buy things
[1:13:54] we are always looking for Originals
[1:14:00] [Music]
[1:14:03] there is this car that you can buy
[1:14:07] cheap foreign
[1:14:36] foreign
[1:14:40] because
[1:14:42] they tell you that once
[1:14:46] is driven out of the garage next fella
[1:14:50] that's the end you can't return and say
[1:14:54] no it's doing this yes
[1:15:15] [Music]
[1:15:17] call them
[1:15:36] that's I think everybody wants a a a a
[1:15:40] new wife
[1:15:55] I think everybody would love it
[1:16:00] we all want would love to buy a new cars
[1:16:07] because we can't manage
[1:16:09] we end up buying something else
[1:16:15] [Music]
[1:16:22] you don't know about the former owner
[1:16:26] [Music]
[1:16:30] it will come with some things
[1:16:35] maybe you know sometimes
[1:16:38] people after buying a car
[1:16:42] he takes it for sure
[1:16:50] amen amen and then
[1:16:58] then the second owner
[1:17:01] um
[1:17:06] there are things
[1:17:08] contradicting
[1:17:10] because perhaps you come you are a
[1:17:14] Christian
[1:17:15] and then you buy a second
[1:17:20] which went through some things
[1:17:26] it's something very different
[1:17:29] but God wanted us
[1:17:32] always
[1:17:34] wanted us to be
[1:17:37] to get married
[1:17:40] to who to to your wife amen
[1:17:51] now let's hear this
[1:17:54] for this course
[1:17:56] shall amen
[1:17:59] Now you listen what cause
[1:18:03] we are members of his body
[1:18:07] of his flesh
[1:18:09] of his bones now for this cause
[1:18:14] of being members of his body
[1:18:18] for that course
[1:18:21] uh for this course shall a man leave his
[1:18:25] mother and father
[1:18:31] because originally
[1:18:34] he had no father and mother
[1:18:37] now for him to qualify
[1:18:41] he shall leave his father
[1:18:45] and mother
[1:18:47] foreign
[1:18:54] right
[1:18:57] what do you call it a second the seventh
[1:19:00] second Covenant the second Covenant
[1:19:03] now under the second Covenant
[1:19:08] God says now for this course
[1:19:12] uh
[1:19:14] and you shall leave your father and
[1:19:16] mother
[1:19:18] because that is not original
[1:19:22] originally you had no father
[1:19:41] it means that
[1:19:44] you are also now surely
[1:19:47] the head of your family
[1:19:52] but it doesn't say did your father
[1:19:58] we should understand
[1:20:01] but meaning that you are no longer
[1:20:08] your father and mother
[1:20:11] you are also taking the headships
[1:20:18] all right amen you also are becoming a
[1:20:21] father
[1:20:24] amen all right amen now if you are
[1:20:26] married
[1:20:27] and coming
[1:20:32] home and say my father says
[1:20:35] you'll be reported
[1:20:41] you're telling me about it you see my
[1:20:44] father says now you are beyond that now
[1:20:47] are you still in respect of your father
[1:20:51] yeah buy them
[1:20:56] but you are also now
[1:21:00] amen you have a family now looking after
[1:21:04] your family
[1:21:06] now let me finish by saying
[1:21:10] for this course shall a man live father
[1:21:14] and mother
[1:21:16] and shall he join unto his wife
[1:21:23] and they too shall be
[1:21:30] one flesh
[1:21:32] that's why
[1:21:35] can one flesh
[1:21:38] divorce itself now
[1:21:44] are you married
[1:21:46] okay can one flesh divorce itself
[1:21:52] no so that's why it says they shall be
[1:21:57] with one flesh
[1:22:03] and it will be something out of this
[1:22:07] world
[1:22:09] to hear
[1:22:11] one flesh sayings
[1:22:16] I'm going for divorce
[1:22:21] to divorce itself
[1:22:24] because it is
[1:22:31] right amen now if you and your wife
[1:22:35] you came from God
[1:22:38] Amen he has already prepared you as a
[1:22:41] husband
[1:22:42] and here as your wife amen
[1:22:47] [Music]
[1:22:48] foreign
[1:23:22] and
[1:23:23] what happened he resurrected
[1:23:27] again
[1:23:30] and gave gifts to men
[1:23:32] [Music]
[1:23:36] and you know
[1:23:37] on his Ascension Day
[1:23:40] he was lifted up in a cloud
[1:23:45] and the Bible says
[1:23:48] he went to the highest heaven
[1:23:53] and gave gifts to me
[1:23:56] I'm
[1:23:58] that's why you cannot okay
[1:24:03] s n s n and
[1:24:08] only one but it's just but but you
[1:24:13] ancestor
[1:24:15] the Lord Jesus is not your and sister
[1:24:18] ancestors
[1:24:23] yeah
[1:24:25] amen that's why you don't go to the
[1:24:28] graves amen
[1:24:36] yes and the Bible says he is in there
[1:24:40] is
[1:24:43] that right amen okay amen now we we we
[1:24:48] are going to reach in order to bless
[1:24:51] this wedding
[1:24:53] foreign
[1:25:06] I think she's ready with that song
[1:25:12] where are you where
[1:25:17] is
[1:25:18] today I think she's ready
[1:25:26] God bless this couple
[1:25:29] who married today
[1:25:32] okay amen
[1:25:34] now I'm finishing here
[1:25:39] brother
[1:25:41] it's a blessing
[1:25:43] for the two of you now
[1:25:45] to be one
[1:25:48] flesh
[1:25:51] but in Christ
[1:25:54] under the seventh seed
[1:25:57] this is a great mystery but I speak
[1:26:01] concerning Christ
[1:26:04] and the church
[1:26:08] Christ and the church Christ
[1:26:11] y
[1:26:15] amen amen you know in everything
[1:26:19] God will
[1:26:21] uh
[1:26:23] compare things
[1:26:40] out of Christ
[1:26:50] he is the head of the church
[1:26:54] amen yes sir so now nevertheless
[1:26:59] let everyone of you in particular Soul
[1:27:03] love
[1:27:05] his wife
[1:27:09] now you've got
[1:27:13] how many loves you
[1:27:21] now which one is real
[1:27:25] agabo
[1:27:28] Real Love Is
[1:27:33] can be deceiving
[1:27:36] food
[1:27:37] all right
[1:27:39] I had one young man saying
[1:27:42] you know me
[1:27:45] I I I'm either going to marry
[1:27:49] uh nursing essay
[1:27:52] [Music]
[1:27:54] or a teacher how about a teacher
[1:27:58] then I said but we are in the on the
[1:28:01] wrong road
[1:28:04] the Bible says you marry your wife
[1:28:08] [Music]
[1:28:11] amen amen
[1:28:12] even a wife let me sad
[1:28:16] a true wife do not agreement
[1:28:22] when
[1:28:24] a rich person who advanced on here
[1:28:32] all this is done
[1:28:35] without Christ
[1:28:38] in Christ you marry your wife
[1:28:43] amen not because of
[1:28:48] amen because she is yours
[1:28:53] rich or poor or whatever
[1:29:01] all right amen now let's finish
[1:29:05] nevertheless
[1:29:06] let every one of you in particular
[1:29:11] um
[1:29:14] so love his wife
[1:29:17] which love is this
[1:29:24] himself
[1:29:35] uh
[1:29:38] if he loves his wife as himself
[1:29:47] now you watch right there
[1:29:51] yes I love myself
[1:29:58] why
[1:30:00] why
[1:30:03] all right
[1:30:08] he says worry he loves himself why it's
[1:30:12] harder
[1:30:14] because of what Christ made him to be
[1:30:21] amen if Jesus comes and says
[1:30:26] the Bible says he laughed us so much
[1:30:31] even he died for us
[1:30:34] that's why we love ourselves
[1:30:37] because he died for us
[1:30:40] I love what I am in Christ
[1:30:45] amen the reason you love yourself
[1:30:49] it is because you are in Christ and
[1:30:53] Christ is in you
[1:30:57] love yourself amen
[1:31:01] all right
[1:31:03] love his wife
[1:31:06] even as Godzilla
[1:31:09] himself
[1:31:15] and the wife see that yeah
[1:31:20] she referenced her
[1:31:23] husband
[1:31:25] the Bible says maybe like Sarah who's
[1:31:29] son Alyssa
[1:31:32] Godzilla
[1:31:34] she
[1:31:36] respected her husband
[1:31:39] [Music]
[1:31:42] okay I mean
[1:31:44] now here we are coming to marry the two
[1:31:47] yeah
[1:31:49] and we realized that
[1:31:54] if
[1:31:56] I'm here officiating
[1:32:01] if
[1:32:03] they were not Christians
[1:32:05] I would do this in fear because
[1:32:10] but if they are Christians
[1:32:14] then I marry them
[1:32:18] as a restoration amen
[1:32:23] that it is God who did it
[1:32:28] all right amen you can help
[1:32:33] and like saying
[1:32:37] when they come they they will call
[1:32:40] gogori
[1:32:42] uh one of their relatives
[1:32:51] a
[1:32:54] um
[1:32:57] please please
[1:32:59] behave yourself
[1:33:06] why are they ask asking her to behave
[1:33:10] what's wrong brother when buying a car
[1:33:13] from the garage
[1:33:24] we ask you
[1:33:27] ask you no
[1:33:31] allowed me to finish it
[1:33:35] now John
[1:33:36] it leaves somebody with a doubt
[1:33:40] I've hated this terminal
[1:33:45] s
[1:33:48] yes but they're giving them instructions
[1:33:51] I believe that um
[1:33:54] God instructed us fully but if we are
[1:33:58] Christians
[1:34:02] we we come from God
[1:34:07] having received all the instructions
[1:34:10] well our good parents also
[1:34:13] will continue to save myself
[1:34:22] the way we have taught you
[1:34:24] already amen
[1:34:26] you know it is like watering a tree
[1:34:29] and you know that the fruits the these
[1:34:32] three we will yield the fruits
[1:34:41] [Music]
[1:34:44] help my tree to yield fruit
[1:34:47] no it is its nature amen
[1:35:03] if my child like my son here
[1:35:08] a ball in especially in the Christian
[1:35:11] family
[1:35:36] [Music]
[1:36:06] listen how much tool and you know what
[1:36:10] happens like the film stars
[1:36:14] Elizabeth Taylor
[1:36:18] and getting married to Richard Burton
[1:36:20] Richard Burton they don't change names
[1:36:27] they don't share Elizabeth Taylor will
[1:36:31] never take the uh
[1:36:34] Elizabeth Taylor Taylor
[1:36:37] each and everyone has his own lawyers
[1:36:41] [Music]
[1:36:45] because our
[1:36:48] they are not sure of their marriage
[1:36:54] they can break anytime
[1:37:12] okay let's do this
[1:37:16] in closing now
[1:37:18] in closing in closing my friends sorry
[1:37:23] my friend yeah
[1:37:25] in closing
[1:37:27] um I'm saying we are so glad
[1:37:31] I have known my brother
[1:37:33] [Music]
[1:37:36] my sister even not really officially
[1:37:41] but when I was told that brother Gara
[1:37:43] was getting married
[1:37:46] to a sister in Christ
[1:37:53] for years
[1:37:55] so that that has been my wish
[1:38:00] that every brother who grown up saving
[1:38:04] the Lord
[1:38:06] and in good times with the message God
