date,status,speaker,title,url,last_checked,language,type,description,duration,church,source_file
2024-04-14,Success,"April 14, 2024",Wedding of Chester Bennett & Hannah Morris,https://www.youtube.com/watch?v=QizE1ApInuc,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2024-01-20,Success,Time Tested Memorials,"Bro. Donny Reagan January 20, 2024",https://www.youtube.com/watch?v=MnX8c4jC7V8,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2023-12-31,Success,"December 31, 2023",New Year's Meeting,https://www.youtube.com/watch?v=XRY9RXmkCHQ,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2023-12-30,Success,"December 30, 2023",New Year's Meeting,https://www.youtube.com/watch?v=dyJt6OMbBzM,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2023-12-09,Success,Gods Will And Testament,"Bro William Borlovan December 9, 2023",https://www.youtube.com/watch?v=SIQ3Sk-Agww,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2023-11-19,Success,"November 19, 2023",Bro. Bill Hinkle's Celebration Of Life,https://www.youtube.com/watch?v=Ojq5aBEdBfw,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2023-09-24,Success,I Am Your Portion,"Bro. Andrew Spencer September 24, 2023",https://www.youtube.com/watch?v=WvGfVGLKt3A,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2023-08-26,Success,The Dynamics Is The Refreshing Of The,"Bro. Andrew Spencer August 26, 2023",https://www.youtube.com/watch?v=Jzn7mK5q4CA,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2023-04-08,No Transcript,William Borlovan,"Bro. William Borlovan April 8, 2023 - ""The Sign Of The Resurrection""",https://www.youtube.com/watch?v=qXpHIf1CgiE,2026-01-05,Unknown,Easter Program,"If these messages have blessed you, please consider supporting our ministry. We are very thankful for the help God sends us through praying saints. Full Gospel Lighthouse Tabernacle is a Non-Profit Christian Ministry and is wholly funded by the tax-deductible donations of our supporters. Please visit our website if you like to support Full Gospel Lighthouse Tabernacle. https://www.fullgospellighthousetabernacle.com/live-stream/",137,Full Gospel Lighthouse Tabernacle,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2023-02-05,Success,Naaman Go Wash,"Bro Ron Spencer February 5, 2023",https://www.youtube.com/watch?v=oMiKhpKDLlY,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2023-01-22,Success,"January 22, 2023",Bro Wendall Martin,https://www.youtube.com/watch?v=MyW2MGn-hhQ,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2022-12-17,Success,The Vision Of Christmas,"Bro. Andrew Spencer December 17, 2022",https://www.youtube.com/watch?v=LrOU0Exv6Ug,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2022-12-10,Success,"December 10, 2022 Resting",Bro Andrew Spencer,https://www.youtube.com/watch?v=ZxCdLqZyqwc,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2022-10-23,No Transcript,Joe Adams October,"Bro. Joe Adams October 23, 2022 - ""We Shall Be Changed""",https://www.youtube.com/watch?v=Ojsi1DZ31MQ,2026-01-05,Unknown,Full Sermon,"If these messages have blessed you, please consider supporting our ministry. We are very thankful for the help God sends us through praying saints. Full Gospel Lighthouse Tabernacle is a Non-Profit Christian Ministry and is wholly funded by the tax-deductible donations of our supporters. Please visit our website if you like to support Full Gospel Lighthouse Tabernacle. https://www.fullgospellighthousetabernacle.com/live-stream/",139,Full Gospel Lighthouse Tabernacle,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2022-10-09,Success,"October 9, 2022","Bro. Matthew Spencer Born in a Mess, Raised in a Mess, Coming Out of a Mess",https://www.youtube.com/watch?v=2cm2MtTlBDo,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2022-10-08,No Transcript,William Borlovan,"Bro. William Borlovan ""God's Chosen Way of Worship"" - October 8, 2022",https://www.youtube.com/watch?v=oT3jDGUmk-c,2026-01-05,Unknown,Full Sermon,"If these messages have blessed you, please consider supporting our ministry. We are very thankful for the help God sends us through praying saints. Full Gospel Lighthouse Tabernacle is a Non-Profit Christian Ministry and is wholly funded by the tax-deductible donations of our supporters. Please visit our website if you like to support Full Gospel Lighthouse Tabernacle. https://www.fullgospellighthousetabernacle.com/live-stream/",118,Full Gospel Lighthouse Tabernacle,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2022-09-17,Success,I Am He The Living Water,"Bro. Andrew Spencer September 17, 2022",https://www.youtube.com/watch?v=l0gEjGHDqWI,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2022-07-02,Success,The Banquet Of Wines,"Bro. Wayne Lawson July 2, 2022",https://www.youtube.com/watch?v=X5vHX5Tscgs,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2022-05-29,Success,Night Seasons,"Bro. Ron Spencer May 29, 2022",https://www.youtube.com/watch?v=ZNvIdaeZyLs,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2022-03-13,Success,"March 13, 2022",FGLT Livestream,https://www.youtube.com/watch?v=J5ojeKefPQU,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2022-01-01,No Transcript,William Borlovan,"New Year's Service January 1, 2022",https://www.youtube.com/watch?v=RXFuTamx0j0,2026-01-05,Unknown,New Year Service,"Bro. William Borlovan - ""God's Gold"" Bro. Matt Spencer - ""Journey To The Claim"" Bro. Andrew Spencer - ""Don't Burn Out, Don't Burn Down, Keep It Fanned""  If these messages have blessed you, please consider supporting our ministry. We are very thankful for the help God sends us through praying saints. Full Gospel Lighthouse Tabernacle is a Non-Profit Christian Ministry and is wholly funded by the tax-deductible donations of our supporters. Please visit our website if you like to support Full Gospe",123,Full Gospel Lighthouse Tabernacle,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2021-10-17,Success,"Naaman, A Secret Life; Two Barrels Of Dirt","Bro. Ron Spencer October 17, 2021",https://www.youtube.com/watch?v=ToooTe5RbYo,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2021-10-10,Success,"October 10, 2021",FGLT Live Stream,https://www.youtube.com/watch?v=Ff0dUzN2duI,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2021-08-28,Success,A,"Bro. William Borlovan August 28, 2021",https://www.youtube.com/watch?v=V84Oda5PzlQ,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2021-07-25,Success,From The Lambs Book We Have A Purpose to Overcome,"Bro. Ron Spencer July 25, 2021",https://www.youtube.com/watch?v=1-KMhvb47X0,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2021-06-20,Success,"Jesus Christ The Same, The God Who Answers","Bro. Timothy Pruitt June 20, 2021",https://www.youtube.com/watch?v=jX0q5rBqrkE,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2021-06-19,Success,Jesus Christ The Same Omnipotence,"Bro. Timothy Pruitt June 19, 2021",https://www.youtube.com/watch?v=H8B8VtyAT3o,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2021-03-07,Success,The Influence Of Our Champion,"Bro. Ron Spencer March 7, 2021",https://www.youtube.com/watch?v=7ysMYuLT_bQ,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2021-02-14,Success,We Are The Champion,"Bro. Ron Spencer February 14, 2021",https://www.youtube.com/watch?v=hGP9cNu0jjc,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2021-01-23,Success,William Borlovan,"Bro. William Borlovan January 23, 2021",https://www.youtube.com/watch?v=Y5davlK2cSo,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2021-01-17,Success,The Mind Of A Champion,"Bro. Ron Spencer January 17, 2021",https://www.youtube.com/watch?v=aSTRjDQ4QBw,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2020-10-04,Success,I Am Your Shield and I Am Your Buckler,"Bro. Andrew Spencer October 4, 2020",https://www.youtube.com/watch?v=h_ZpIg39dEs,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2020-07-18,Success,Morning Is Coming,"Bro. Andrew Spencer July 18, 2020",https://www.youtube.com/watch?v=8GENT-zAlrM,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2020-02-22,Success,"Mama, Thats","Bro. William Borlovan February 22, 2020",https://www.youtube.com/watch?v=khfk8KYetYI,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2020-02-15,Success,Whose Report Will You Believe,"Bro. Tim Pruitt February 15, 2020",https://www.youtube.com/watch?v=8g__BedxMNQ,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2019-10-13,Success,Never Ashamed,"Bro. Andrew Spencer October 13, 2019",https://www.youtube.com/watch?v=RYjzmz6os20,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2019-10-12,Success,Never Ashamed,"Bro. Andrew Spencer October 12, 2019",https://www.youtube.com/watch?v=-6d8gyvcMV4,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2019-09-28,Success,Never Ashamed,"Bro. Andrew Spencer September 28, 2019",https://www.youtube.com/watch?v=Wo5FyhLTqsE,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2025-11-10,Success,Joe Adams,Bro. Joe Adams Thou Art My Hiding Place Part 2 11-9-25 Sunday Night,https://www.youtube.com/watch?v=ardstWoS2_0,2026-01-06,Unknown,Full Sermon,,,,Word_of_Life_Tabernacle_Summary.csv
2025-11-09,No Transcript,Joe Adams,"Bro. Joe Adams ""Thou Art My Hiding Place"" 11/9/25 Sunday Morning",https://www.youtube.com/watch?v=OwXDrv-jMv0,2026-01-06,Unknown,Full Sermon,"Bro. Joe Adams ""Thou Art My Hiding Place"" 11/9/25 Sunday Morning",127,Word of Life Tabernacle,Word_of_Life_Tabernacle_Summary.csv
2025-05-19,Success,Benjamin Pruitt,Elijah Part 2- Be Certain of God- Pastor Benjamin Pruitt 5182025,https://www.youtube.com/watch?v=cyx-SM1A5Cc,2026-01-06,Unknown,Full Sermon,,,,Word_of_Life_Tabernacle_Summary.csv
2025-04-20,Success,Benjamin Pruitt,Quickening Power in the Body Easter Service Benjamin Pruitt 4202025,https://www.youtube.com/watch?v=je7WRHbpOdk,2026-01-06,Unknown,Full Sermon,,,,Word_of_Life_Tabernacle_Summary.csv
2024-12-02,Success,Ben Pruitt Abraham,"Pastor Ben Pruitt Abraham, Father of Faith Part 17 Sunday Evening 12-1-24",https://www.youtube.com/watch?v=HJ2BsU4tTwk,2026-01-06,Unknown,Full Sermon,,,,Word_of_Life_Tabernacle_Summary.csv
2024-03-31,Success,Ben Pruitt Easter,Three Witnesses,https://www.youtube.com/watch?v=YuJ3GNVeCeg,2026-01-06,Unknown,Full Sermon,,,,Word_of_Life_Tabernacle_Summary.csv
2023-07-16,Success,Wendall Martin July Meetings,Bro. Wendall Martin Sunday July Meetings 2023,https://www.youtube.com/watch?v=KNFNSrFhNNc,2026-01-06,Unknown,Full Sermon,,,,Word_of_Life_Tabernacle_Summary.csv
2022-05-16,Success,timestamped,God's Great Symphony Part 2 Harmony,https://www.youtube.com/watch?v=b06PrZs0isg,2026-01-06,Unknown,Full Sermon,,,,Word_of_Life_Tabernacle_Summary.csv
2021-06-07,Success,Joe Adams,Bro. Joe Adams,https://www.youtube.com/watch?v=t6xLm0YWLkc,2026-01-06,Unknown,Full Sermon,,,,Word_of_Life_Tabernacle_Summary.csv
2021-06-06,Success,Joe Adams,Bro. Joe Adams,https://www.youtube.com/watch?v=E35Mb48V7Rk,2026-01-06,Unknown,Full Sermon,,,,Word_of_Life_Tabernacle_Summary.csv
2023-10-12,No Transcript,Job Schamel,This Is My Desire/I Exalt Thee,https://www.youtube.com/watch?v=L1C71Wn0S_Y,2026-01-06,Unknown,Short Service,"Sis Grace, Sis Melody, And Bro Job Schamel",4,Word of Life Tabernacle,Word_of_Life_Tabernacle_Summary.csv
2022-08-30,Success,School Medley,Sunday School Medley,https://www.youtube.com/watch?v=89ooBJeGFWA,2026-01-06,Unknown,Song / Worship,,,,Word_of_Life_Tabernacle_Summary.csv
2022-07-25,Success,Job Schamel,Through the Fire,https://www.youtube.com/watch?v=yOrq316CLoA,2026-01-06,Unknown,Song / Worship,,,,Word_of_Life_Tabernacle_Summary.csv
2025-12-28,Success,Chad Lamb The Bitter Waters Made Sweet,Sermon Clip 251228,https://www.youtube.com/watch?v=RQCHu18vqqk,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-12-28,Success,Chad Lamb The Bitter Waters Made Sweet,251228,https://www.youtube.com/watch?v=2KHhJH9H_VA,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-12-23,Success,Chad Lamb Emmanuel,Sermon Clip 251223,https://www.youtube.com/watch?v=FQRqhyZOp-s,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-12-23,No Transcript,Chad Lamb,251223 - Chad Lamb: Emmanuel,https://www.youtube.com/watch?v=7g1NF6hOWCk,2026-01-04,Unknown,Full Sermon,"Messages and sermon notes from church services at Believers Christian Fellowship, and other information, can be found on the BCF website, http://www.bcfellowship.org​​​​​​​.",99,Believers Christian Fellowship,Believers_Christian_Fellowship_Summary.csv
2025-12-21,Success,Chad Lamb The Keys of Revelation,Sermon Clip 251221,https://www.youtube.com/watch?v=7h7Vq55o1hg,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-12-21,Success,Chad Lamb The Keys of Revelation,251221,https://www.youtube.com/watch?v=OJ9LfQv3ZjY,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-12-17,Success,Chad Lamb Chosen To Carry the,Sermon Clip 251217,https://www.youtube.com/watch?v=2RyzcG2zRL4,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-12-17,Success,Chad Lamb Chosen To Carry the,251217,https://www.youtube.com/watch?v=3rl7NrWL-go,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-12-10,Success,Chad Lamb Food,Sermon Clip 251210,https://www.youtube.com/watch?v=VIO-63rtWG8,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-12-10,Success,Chad Lamb Food,251210,https://www.youtube.com/watch?v=ugFxFxN2b6Y,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-12-07,Success,Chad Lamb The Blessing of Abraham,Sermon Clip 251207,https://www.youtube.com/watch?v=eo2UadclpK8,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-12-07,Success,Chad Lamb The Blessing of Abraham,251207,https://www.youtube.com/watch?v=fEKdC8bNX8Q,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-12-03,Success,Chad Lamb Receiving the Book of Redemption,Sermon Clip 251203,https://www.youtube.com/watch?v=N229AgtGcgo,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-12-03,No Transcript,Chad Lamb,251203 - Chad Lamb: Receiving the Book of Redemption,https://www.youtube.com/watch?v=c4h8eyz16ts,2026-01-04,Unknown,Full Sermon,"Messages and sermon notes from church services at Believers Christian Fellowship, and other information, can be found on the BCF website, http://www.bcfellowship.org​​​​​​​.",111,Believers Christian Fellowship,Believers_Christian_Fellowship_Summary.csv
2025-11-26,Success,Chad Lamb Carriers of the,Sermon Clip 251126,https://www.youtube.com/watch?v=Jl5f27qAIY0,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-11-26,Success,Chad Lamb Carriers of the,251126,https://www.youtube.com/watch?v=XaYr_60Ck2w,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-11-22,No Transcript,Chad Lamb,251122 - Chad Lamb: Celebrating the Life of Nancy Morrow,https://www.youtube.com/watch?v=TheXtLMcjTk,2026-01-04,Unknown,Memorial Service,"Messages and sermon notes from church services at Believers Christian Fellowship, and other information, can be found on the BCF website, http://www.bcfellowship.org​​​​​​​.",77,Believers Christian Fellowship,Believers_Christian_Fellowship_Summary.csv
2025-11-23,Success,Chad Lamb The Fall and Rise of Man,Sermon Clip 251123,https://www.youtube.com/watch?v=r-wO-4zyy5I,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-11-23,Success,Chad Lamb The Fall and Rise of Man,251123,https://www.youtube.com/watch?v=bRA_j13Au8s,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-11-19,Success,Chad Lamb Reverential Trust,Sermon Clip 251119,https://www.youtube.com/watch?v=Fu45YwgD1gE,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-11-19,Success,Chad Lamb Reverential Trust,251119,https://www.youtube.com/watch?v=H6NWT2FwrPc,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-11-12,Success,Chad Lamb Holding a Secret,Sermon Clip 251112,https://www.youtube.com/watch?v=f4uKqAynNdk,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-11-12,Success,Chad Lamb Holding a Secret,251112,https://www.youtube.com/watch?v=0t5_JjJYVto,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-11-05,Success,Chad Lamb A Love That Produces,Sermon Clip 251105,https://www.youtube.com/watch?v=6QDk0cpBLpE,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-11-05,Success,Chad Lamb A Love That Produces,251105,https://www.youtube.com/watch?v=cT13caJRRGQ,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-11-02,Success,Chad Lamb The Real Gift,Sermon Clip 251102,https://www.youtube.com/watch?v=T8CG4qd8qps,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-11-02,Success,Chad Lamb The Real Gift,251102,https://www.youtube.com/watch?v=YpBDJocu-vs,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-10-29,Success,Chad Lamb The Greatest Temptation,Sermon Clip 251029,https://www.youtube.com/watch?v=0DW9Mb_ksOQ,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-10-29,Success,Chad Lamb The Greatest Temptation,251029,https://www.youtube.com/watch?v=J3yrSjzowM8,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-10-26,Success,Chad Lamb The Greatest Temptation,Sermon Clip 251026,https://www.youtube.com/watch?v=yCH_NuAW5XE,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-10-26,Success,Chad Lamb The Greatest Temptation,251026,https://www.youtube.com/watch?v=VZV3chjIrwA,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-10-22,Success,Chad Lamb The Danger of Peace & Prosperity,Sermon Clip 251022,https://www.youtube.com/watch?v=IaurUoLEISs,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-10-22,Success,Chad Lamb The Danger of Peace and Prosperity,251022,https://www.youtube.com/watch?v=1tVyrcqCmzs,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-10-19,Success,Chad Lamb Walking,251019,https://www.youtube.com/watch?v=s2RiLgjSkvQ,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-10-05,Success,Chad Lamb The Value,Sermon Clip 251005,https://www.youtube.com/watch?v=sxeVD4oqBxg,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-10-05,Success,Chad Lamb The Value,251005,https://www.youtube.com/watch?v=pJG_bAWUcQU,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-10-01,Success,Chad Lamb Christ,Sermon Clip 251001,https://www.youtube.com/watch?v=lYPr_2EUA7w,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-10-01,Success,Chad Lamb Christ,251001,https://www.youtube.com/watch?v=5c8HdYS7hX0,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-09-21,Success,Chad Lamb The Super Sign,Sermon Clip 250921,https://www.youtube.com/watch?v=4v4gh-8C-7o,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-09-21,Success,Chad Lamb The Super Sign,250921,https://www.youtube.com/watch?v=LDSBNbiK3z8,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-09-17,Success,Chad Lamb The Super Race,Sermon Clip 250917,https://www.youtube.com/watch?v=mLwaNkFBSzI,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-09-17,Success,Chad Lamb The Super Race,250917,https://www.youtube.com/watch?v=4WmG-SRPjIA,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-09-14,Success,Chad Lamb The Messenger of the Seventh,Sermon Clip 250914,https://www.youtube.com/watch?v=P306pfW3dUw,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-09-14,No Transcript,Chad Lamb,250914 - Chad Lamb: The Messenger of the Seventh Seal,https://www.youtube.com/watch?v=6_vmu2QXAk4,2026-01-04,Unknown,Full Sermon,"Messages and sermon notes from church services at Believers Christian Fellowship, and other information, can be found on the BCF website, http://www.bcfellowship.org​​​​​​​.",154,Believers Christian Fellowship,Believers_Christian_Fellowship_Summary.csv
2025-09-10,Success,Chad Lamb The Mount Zion Showdown,Sermon Clip 250910,https://www.youtube.com/watch?v=GuUKosA3gW8,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-09-10,Success,Chad Lamb The Mount Zion Showdown,250910,https://www.youtube.com/watch?v=XuuWpelFQX8,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-09-03,Success,Chad Lamb The Former and Latter Rain,Sermon Clip 250903,https://www.youtube.com/watch?v=ZeK44v1D_TA,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-09-03,Success,Chad Lamb The Former and Latter Rain,250903,https://www.youtube.com/watch?v=2wauJenSN-4,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
2025-08-31,Success,Chad Lamb A Message From the Holy Spirit,Sermon Clip 250831,https://www.youtube.com/watch?v=fB9l6BX1QBA,2026-01-04,Unknown,Full Sermon,,,,Believers_Christian_Fellowship_Summary.csv
