church,date,title,url,from_speaker,to_speaker,reason
Jericho Tabernacle,2022-02-06,"2022-0206 Esther, A Bride For The King",https://www.youtube.com/watch?v=AvMucAIGKI0,Pastor Octavio Ordoñez,Octavio Ordoñez,smart_correction
Jericho Tabernacle,2022-09-23,2022-0923 John 316  (The Love Of God),https://www.youtube.com/watch?v=rT5x6Iq1_-E,Pastor Octavio Ordoñez,Octavio Ordoñez,smart_correction
Jericho Tabernacle,2022-09-18,2022-0918 Sueños y Profecia (A El Oid),https://www.youtube.com/watch?v=lX-3-b_omf0,Hno. Jose Flores,Jose Flores,smart_correction
Jericho Tabernacle,2023-06-22,2023-0621,https://www.youtube.com/watch?v=uEIQY5LZ2oA,60-1211E The Laodicean Church Age,Unknown Speaker,smart_correction
Jericho Tabernacle,2022-07-10,2022-0710  Los Números De Dios  #2  (Primeramente Fe Y Luego Palabra Hablada),https://www.youtube.com/watch?v=U-WQlv9OMSw,Hno. Juan Saucedo,Juan Saucedo,smart_correction
Jericho Tabernacle,2022-04-01,2022-0401 Exodus 5 (Jericho Tabernacle),https://www.youtube.com/watch?v=OlH15ZitALM,Pastor Octavio Ordoñez,Octavio Ordoñez,smart_correction
Jericho Tabernacle,2020-08-21,2020-0821 How Can I Be Made Perfect 2 (Election),https://www.youtube.com/watch?v=oNFBqvrZrN4,Bro. Luis Aguilar,Luis Aguilar,smart_correction
Jericho Tabernacle,2024-12-15,2024-1215 Zarandeados Pero No Derrotados,https://www.youtube.com/watch?v=C8yZLT3G7kU,Hno. Marcotulio Carrillo,Marcotulio Carrillo,smart_correction
Jericho Tabernacle,2022-09-16,2022-0916 How Can I Have Success #2,https://www.youtube.com/watch?v=20okOktyym0,Bro. Luis Aguilar,Luis Aguilar,smart_correction
Jericho Tabernacle,2019-11-05,2019-1027,https://www.youtube.com/watch?v=64uodH8ZLjc,Life Testimony,Unknown Speaker,smart_correction
Jericho Tabernacle,2023-07-22,2023-0721 God's Permissive Will (The Word Showdown),https://www.youtube.com/watch?v=4cZYULjJL1I,Pastor Octavio Ordoñez,Octavio Ordoñez,smart_correction
Jericho Tabernacle,2024-12-12,2024-1211,https://www.youtube.com/watch?v=xHGCWJezhsk,60-1211E The Laodicean Church Age,Unknown Speaker,smart_correction
Jericho Tabernacle,2021-09-12,2021-0912  God Providing Healing For This Generation,https://www.youtube.com/watch?v=F4q2wZj5hZY,Bro. Luis Aguilar & Estanislao Villagomez.,Luis Aguilar,smart_correction
Jericho Tabernacle,2023-06-12,2023-0611 Guarda ¿Qué De La Noche  (¿Que Horas Son),https://www.youtube.com/watch?v=I0Tvj1WGmvI,Hno. Juan Saucedo,Juan Saucedo,smart_correction
Jericho Tabernacle,2021-05-26,2021-0526,https://www.youtube.com/watch?v=C9aa5-qo1fo,64-0614E  The Oddball,64-0614E The Oddball,smart_correction
Jericho Tabernacle,2020-04-18,2020-0417,https://www.youtube.com/watch?v=SA0pkYhYLRQ,65-0418E Does God Ever Change His Mind About His Word Pt. 2,65-0418E Does God Ever Change His Mind About His Word,smart_correction
Jericho Tabernacle,2025-07-12,3 Stages Of Grace Justification #4,https://www.youtube.com/watch?v=8ZdH5rpVpUE,"Bro. Victor Chavez, Jr. & Bro. Ivan Yanez","Victor Chavez, Jr, Ivan Yanez",smart_correction
Jericho Tabernacle,2025-12-06,Youth Testimony,https://www.youtube.com/watch?v=-bfD7uFZ_sA,"Sis. Moriah Diaz, Gaby Flores & Myrna Flores","Moriah Diaz, Gaby Flores, Myrna Flores",smart_correction
Jericho Tabernacle,2024-06-20,2024-0619,https://www.youtube.com/watch?v=K0uM4quGOJ4,65-0220 God's Chosen Place Of Worship,65-0220 Gods Chosen Place,smart_correction
Jericho Tabernacle,2025-07-21,Preocupado,https://www.youtube.com/watch?v=_Gi5lM_HX8U,Hno. Jose Flores,Jose Flores,smart_correction
Jericho Tabernacle,2025-11-22,The Three Stages Of Grace Sanctification #6,https://www.youtube.com/watch?v=F3QQsTETnIU,Bro. Ivan Yanez,Ivan Yanez,smart_correction
Jericho Tabernacle,2024-11-28,2024-1127,https://www.youtube.com/watch?v=Ru5vicYoAMI,60-1210 The Philadelphian Church Age,Unknown Speaker,smart_correction
Jericho Tabernacle,2023-05-22,2023-0521 El Año Del Jubileo 17 (Israel En Su Patria 9),https://www.youtube.com/watch?v=HlrWglbt2UI,Hno. Emmanuel Santos,Emmanuel Santos,smart_correction
Jericho Tabernacle,2022-02-11,2022-0211 Christian Courtship #5  (Sacred Vow),https://www.youtube.com/watch?v=UfV4hadzyO8,Bro. Luis Aguilar,Luis Aguilar,smart_correction
Jericho Tabernacle,2021-09-15,2021-0915- 65-0718E Spiritual Food In Due Season,https://www.youtube.com/watch?v=LhhGUbLFlFk,Rev. William M. Branham,William M. Branham,smart_correction
Jericho Tabernacle,2020-12-20,2020-1220,https://www.youtube.com/watch?v=dpoQUX3FLSQ,"60-1211m The Ten Virgins, And The Hundred And Forty-Four Thousand Jews-William M Branham",William M. Branham,smart_correction
Jericho Tabernacle,2020-07-26,2020-0726 Christ The Head Comes To The Body,https://www.youtube.com/watch?v=j9g38GWgwJ8,Pastor John G. Alvarado,John G. Alvarado,smart_correction
Jericho Tabernacle,2020-09-04,2020-0904 How Can I Be Made Perfect #4 (Follow Me),https://www.youtube.com/watch?v=ElsALDnE8kk,Bro. Luis Aguilar,Luis Aguilar,smart_correction
Jericho Tabernacle,2021-05-19,2021-0519,https://www.youtube.com/watch?v=meSnYsOckP4,64-0614M The Unveiling Of God,64-0614M The Unveiling,smart_correction
Jericho Tabernacle,2023-04-29,2023-0428  Be Strong In The Lord,https://www.youtube.com/watch?v=6bd0nf1YQ5A,Pastor Octavio Ordoñez,Octavio Ordoñez,smart_correction
Jericho Tabernacle,2021-10-27,2021-1027,https://www.youtube.com/watch?v=sug3pQCNE3g,65-0822M Christ Is Revealed In His Own Word,65-0822M Christ Is Revealed,smart_correction
Jericho Tabernacle,2025-12-14,I Will Now Turn Aside,https://www.youtube.com/watch?v=EYtgVo5ONi4,Bro. Thomas Effah,Thomas Effah,smart_correction
Jericho Tabernacle,2025-10-25,Surrendering All To God,https://www.youtube.com/watch?v=gj6TB0Ki0l8,Bro. Jesus Garcia,Jesus Garcia,smart_correction
Jericho Tabernacle,2024-04-22,2024-0421 El Año Del Jubileo 23 (Israel En Su Patria pt.15),https://www.youtube.com/watch?v=HojvfHC4JfY,Hno. Emmanuel Santos,Emmanuel Santos,smart_correction
Jericho Tabernacle,2020-11-15,2020-1115 Footsteps Ordered of the Lord,https://www.youtube.com/watch?v=f-t9zQwEcuw,Bro Marcos Santana,Marcos Santana,smart_correction
Jericho Tabernacle,2023-02-22,2023-0222,https://www.youtube.com/watch?v=_oT0cyiiKmg,65-0822M Christ Is Revealed In His Own Word,65-0822M Christ Is Revealed,smart_correction
Jericho Tabernacle,2019-11-06,2019-1103 My Absolute is Christ the Word,https://www.youtube.com/watch?v=C8o53bGJTI4,Bro John G Alvarado,John G Alvarado,smart_correction
Jericho Tabernacle,2022-06-10,2022-0610 The Importance Of The Bible #2,https://www.youtube.com/watch?v=pmO-K7R8WrY,Bro. Eliezer Castillo,Eliezer Castillo,smart_correction
Jericho Tabernacle,2024-03-11,2024-0310 Adoption #6 (The Ephesian Age),https://www.youtube.com/watch?v=qDn5oMgVaTU,Pastor Octavio Ordoñez,Octavio Ordoñez,smart_correction
Jericho Tabernacle,2022-11-27,2022-1127 Identificados Con Cristo,https://www.youtube.com/watch?v=9f3qMPn8LCc,Hno. Juan Saucedo,Juan Saucedo,smart_correction
Jericho Tabernacle,2023-09-30,2023-0929 El Tabernaculo 11 (Ester Pt.1  Fiestas Dispensacionales),https://www.youtube.com/watch?v=IugkzS5qXtA,Hno. Emmanuel Santos,Emmanuel Santos,smart_correction
Jericho Tabernacle,2019-05-14,2019-0512 Mothers Day Service,https://www.youtube.com/watch?v=o2g92pR4PE4,Bro John G Alvarado,John G Alvarado,smart_correction
Jericho Tabernacle,2025-06-12,A Guide (62-1014E),https://www.youtube.com/watch?v=TxNZduYEqHo,Rev. William Marrion Branham,William M. Branham,smart_correction
Jericho Tabernacle,2023-11-23,2023-1122 Porque No Tenemos Aquí Ciudad Permanente,https://www.youtube.com/watch?v=RVW0xGW499k,Hno. Jorge Scabarrozzi,Jorge Scabarrozzi,smart_correction
Jericho Tabernacle,2023-08-24,2023-0823,https://www.youtube.com/watch?v=mwLUQnsdJXo,63-0322 The Fifth Seal,63-0322 The Fifth,smart_correction
Jericho Tabernacle,2021-11-07,2021-1107  God's Filter,https://www.youtube.com/watch?v=TVEGvlIgAw0,Bro. Octavio Ordoñez,Octavio Ordoñez,smart_correction
Jericho Tabernacle,2025-04-28,Que Tu Alimento Sea Tu Medicina,https://www.youtube.com/watch?v=lOJvPhy_nck,Hno. Oscar Aviles,Oscar Aviles,smart_correction
Jericho Tabernacle,2022-05-29,2022-0529 Poniendo Todas Las Cosas En Equilibrio #1,https://www.youtube.com/watch?v=bhOfa7--MfQ,Hno. Luis Aguilar,Luis Aguilar,smart_correction
Jericho Tabernacle,2021-12-08,2021-1208,https://www.youtube.com/watch?v=q3Dc4ButUGg,65-1205 Things That Are To Be,65-1205,smart_correction
Jericho Tabernacle,2020-08-16,"2020-0816 A Sacred Trust, Stay On Your Ground",https://www.youtube.com/watch?v=yWJmHymve-0,Bro. Israel Powe,Israel Powe,smart_correction
Jericho Tabernacle,2023-11-04,2023-1103 Watch The End And Keep Steady,https://www.youtube.com/watch?v=KrSVD5mZd-E,Bro. Eliezer Castillo,Eliezer Castillo,smart_correction
Jericho Tabernacle,2025-07-07,El Año Del Jubileo #33 (Israel En Su Patria #25),https://www.youtube.com/watch?v=KHW4mrCpS9M,Hno. Emmanuel Santos,Emmanuel Santos,smart_correction
Jericho Tabernacle,2020-09-11,2020-0911 Ye Are The Temple of God 1 (The Foundation Stone),https://www.youtube.com/watch?v=JNI1w5KJ26M,Bro. Luis Aguilar,Luis Aguilar,smart_correction
Jericho Tabernacle,2023-05-04,2023-0503,https://www.youtube.com/watch?v=CAc3ycyd50Y,60-1205 The Ephesian Church Age,Unknown Speaker,smart_correction
Jericho Tabernacle,2025-03-31,2025-0330,https://www.youtube.com/watch?v=F4lONhLt_FM,Decisiones  Tu Destino,Decisiones Tu Destino,smart_correction
Jericho Tabernacle,2020-09-25,2020-0925 Como Sabemos Si Fuimos Llamados A La Perfeccion,https://www.youtube.com/watch?v=0PlIb5IYT70,Bro. Emmanuel Santos pt1,Emmanuel Santos,smart_correction
Jericho Tabernacle,2021-07-21,2021-0721- 63-0630M  The Third Exodus,https://www.youtube.com/watch?v=yDL8P6AVmvU,Rev. William M. Branham,William M. Branham,smart_correction
Jericho Tabernacle,2022-01-26,2022-0126,https://www.youtube.com/watch?v=MhuEnWnwpvw,63-0317E The Breach Between The Seven Church Ages And The Seven Seals,Unknown Speaker,smart_correction
Jericho Tabernacle,2024-01-27,2024-0126 El Tabernáculo #13 Ester Reyes y Sacerdotes,https://www.youtube.com/watch?v=WygFWT-EKhg,Hno. Emmanuel Santos,Emmanuel Santos,smart_correction
Jericho Tabernacle,2020-07-31,2020-0731 Where Is The Kingdom Located,https://www.youtube.com/watch?v=MLDFthbT-KA,Bro. Luis Aguilar,Luis Aguilar,smart_correction
Jericho Tabernacle,2021-11-14,2021-1114 El Año Del Jubileo #6 (Israel En Cades-Barnea),https://www.youtube.com/watch?v=GI6YG57V7Fg,Hno. Emmanuel Santos,Emmanuel Santos,smart_correction
Jericho Tabernacle,2024-01-13,2024-0112 Testimony,https://www.youtube.com/watch?v=c_7IEIj7Ma0,Bro. George Smith,George Smith,smart_correction
Jericho Tabernacle,2021-10-31,2021-1031 The Greatest Battle Ever Fought,https://www.youtube.com/watch?v=uDGiOyFAhP0,Bro. Octavio Ordoñez,Octavio Ordoñez,smart_correction
Jericho Tabernacle,2019-10-15,2019-1013 The Way of a Transgressor,https://www.youtube.com/watch?v=AqbImHhBHMc,Bro Eli Castillo,Eli Castillo,smart_correction
Jericho Tabernacle,2023-08-10,2023-0809,https://www.youtube.com/watch?v=EaN7OIRWfnA,63-0320 The Third Seal,63-0320 The,smart_correction
Jericho Tabernacle,2024-04-11,2024-0410 Be Anxious For Nothing,https://www.youtube.com/watch?v=enJpAsKuncM,Bro. Eliezer Castillo,Eliezer Castillo,smart_correction
Jericho Tabernacle,2025-02-03,2025-0202  Give Your Heart To Christ,https://www.youtube.com/watch?v=xVnTe6gwuGk,Bro. Jesse Alanis,Jesse Alanis,smart_correction
Jericho Tabernacle,2023-09-02,2023-0901 Testimonios,https://www.youtube.com/watch?v=ytEmhvok2Ig,Sis. Destinee Soza  Hna. Arminda Perez,Destinee Soza Hna. Arminda Perez,smart_correction
Jericho Tabernacle,2022-10-14,2022-1014 Respects (Be Careful),https://www.youtube.com/watch?v=WQcRgzh6jts,Pastor Octavio Ordoñez,Octavio Ordoñez,smart_correction
Jericho Tabernacle,2022-06-12,2022-0612 Poniendo Todas Las Cosas En Equilibrio #2  (Equilibrio Cristiano),https://www.youtube.com/watch?v=hSnqF5xWJM4,Hno. Luis Aguilar,Luis Aguilar,smart_correction
Jericho Tabernacle,2020-08-23,2020-0823 God's Purpose & Plan,https://www.youtube.com/watch?v=-XqnYhQtxY8,Bros. Alex & Ernie Borunda,Alex & Ernie Borunda,smart_correction
Jericho Tabernacle,2025-05-15,Adoption 2 (60-0518),https://www.youtube.com/watch?v=H6d5VC9d7rk,Rev. William M. Branham,William M. Branham,smart_correction
Jericho Tabernacle,2023-09-30,2023-0929 El Tabernaculo #11 (Ester Pt.1  Fiestas Dispensacionales),https://www.youtube.com/watch?v=IugkzS5qXtA,Hno. Emmanuel Santos,Emmanuel Santos,smart_correction
Jericho Tabernacle,2021-05-02,2021-0502 Compra La Verdad Y No La Vendas,https://www.youtube.com/watch?v=m6NX-6eO73Y,Hno. Juan Saucedo,Juan Saucedo,smart_correction
Jericho Tabernacle,2021-07-28,2021-0728,https://www.youtube.com/watch?v=DItkYyBrhNo,65-0425  God’s Provided Place Of Worship,65-0425 God’s Provided Place,smart_correction
Jericho Tabernacle,2023-01-29,2023-0129 Agapo 3 (Standing In The Gap),https://www.youtube.com/watch?v=R8O42vO5ILs,"Bro. Marcos Santana, Jr.","Marcos Santana, Jr",smart_correction
Jericho Tabernacle,2024-02-01,2024-0131 El Tabernáculo #14 Ester El Cetro De Siloh pt.4,https://www.youtube.com/watch?v=JZVD-7iA1nY,Hno. Emmanuel Santos,Emmanuel Santos,smart_correction
Jericho Tabernacle,2024-02-24,2024-0223 Endurance (Restore My Joy),https://www.youtube.com/watch?v=pJ1tped6G5k,"Bro. Marcos Santana, Jr.","Marcos Santana, Jr",smart_correction
Jericho Tabernacle,2025-10-27,Los Oficios De Dios En Hombres En La Iglesia #7 (El Ministerio),https://www.youtube.com/watch?v=TGjDiHET2rc,Hno. Juanito Saucedo,Juanito Saucedo,smart_correction
Jericho Tabernacle,2023-08-07,2023-0806 Dignos De Su Vocación,https://www.youtube.com/watch?v=eoCnnPGT1dU,"Hno. Rolando Eduardo Gonzalez, Pastor en El Salvador,  SV",Rolando Eduardo Gonzalez,smart_correction
Jericho Tabernacle,2024-08-01,2024-0731,https://www.youtube.com/watch?v=p9KRp9e0kjY,65-0718E Spiritual Food In Due Season,65-0718E Spiritual Food,smart_correction
Jericho Tabernacle,2022-05-13,"2022-0513 Tú, Y Tu Casa",https://www.youtube.com/watch?v=wzCrlqoggPw,Hno. Ovidio Zamora,Ovidio Zamora,smart_correction
Jericho Tabernacle,2024-07-07,2024-0707 El Año Del Jubileo 26​ (Israel En Su Patria 18),https://www.youtube.com/watch?v=fNJQ08Buz40,Hno. Emmanuel Santos,Emmanuel Santos,smart_correction
Jericho Tabernacle,2020-12-16,2020-1216,https://www.youtube.com/watch?v=4hEOJexqAXE,60-1210 The Philadelphian Church Age (pt 2),Unknown Speaker,smart_correction
Jericho Tabernacle,2021-12-12,2021-1212 God's Glory In Full View,https://www.youtube.com/watch?v=FThdBAS8q1M,Bro. Eliezer Castillo,Eliezer Castillo,smart_correction
Jericho Tabernacle,2022-11-06,2022-1106 Poniendo Todas Las Cosas En Equilibrio #5 (Agentes De Dios),https://www.youtube.com/watch?v=cNg_-OSkoBU,Pastor Asociado Luis Aguilar,Asociado Luis Aguilar,smart_correction
Jericho Tabernacle,2019-10-01,2019-0929 The Holy Ghost Is Baptized Into the Holy Ghost,https://www.youtube.com/watch?v=eZ_AIavPQ1k,Bro John G Alvarado,John G Alvarado,smart_correction
Jericho Tabernacle,2020-03-10,2020-0308 Your Light Hath Come,https://www.youtube.com/watch?v=bz8dDeKUvKA,Bro Frank Martinez,Frank Martinez,smart_correction
Jericho Tabernacle,2021-07-02,2021-0702  Youth Service,https://www.youtube.com/watch?v=Y866AwdYUic,Hno. Juan Vazquez,Juan Vazquez,smart_correction
Jericho Tabernacle,2024-05-30,2024-0529,https://www.youtube.com/watch?v=Qq-yeDlqXw4,65-0217 A Man Running From The Presence Of The Lord,65-0217 A Man Running From The Presence Of The,smart_correction
Jericho Tabernacle,2019-09-15,2019-0915 Jericho Tabernacle Family Camp,https://www.youtube.com/watch?v=P99K4tAg7Wc,Bro. Edgar Marquez,Edgar Marquez,smart_correction
Jericho Tabernacle,2023-07-10,2023-0709 Josiah A King Of The Tribe of Judah,https://www.youtube.com/watch?v=L24KgDtExxQ,Pastor Octavio Ordoñez,Octavio Ordoñez,smart_correction
Jericho Tabernacle,2021-04-11,2021-0411 El Año Del Jubileo 1 (Israel En Egipto),https://www.youtube.com/watch?v=Y5Vbkzhyc3M,Bro. Emmanuel Santos,Emmanuel Santos,smart_correction
Jericho Tabernacle,2025-09-15,Preocupado 3,https://www.youtube.com/watch?v=p_rxNGenZO4,Hno. Jose Flores,Jose Flores,smart_correction
Jericho Tabernacle,2020-02-11,2020-0209 Questions and Answers,https://www.youtube.com/watch?v=1PKS5FI08CY,Bro John G Alvarado,John G Alvarado,smart_correction
Jericho Tabernacle,2025-08-16,The 3 Stages of Grace Sanctification 2,https://www.youtube.com/watch?v=7P_k2v6yYFk,Bro. Ivan Yanez,Ivan Yanez,smart_correction
Jericho Tabernacle,2023-06-07,2023-0607,https://www.youtube.com/watch?v=ORBrRjJ2GBw,60-1210 The Philadelphian Church Age,Unknown Speaker,smart_correction
Jericho Tabernacle,2020-04-05,2020-0405 Palm Sunday 3-12 Years,https://www.youtube.com/watch?v=p_wT2SvIisY,Bro. John G. Alvarado,John G. Alvarado,smart_correction
Jericho Tabernacle,2024-02-22,"2024-0221 Odio, Rencor y Amargura",https://www.youtube.com/watch?v=HQ25PyKuxfA,Hno. Marcos Santana,Marcos Santana,smart_correction
Jericho Tabernacle,2022-05-08,2022-0508 Seed of the Woman (Semilla de la Mujer),https://www.youtube.com/watch?v=cA3IiwxzCsM,Bro. Eliezer Castillo,Eliezer Castillo,smart_correction
Jericho Tabernacle,2022-06-12,2022-0612 Poniendo Todas Las Cosas En Equilibrio 2  (Equilibrio Cristiano),https://www.youtube.com/watch?v=hSnqF5xWJM4,Hno. Luis Aguilar,Luis Aguilar,smart_correction
Jericho Tabernacle,2025-07-14,Los Oficios De Dios En Hombres En La Iglesia #3,https://www.youtube.com/watch?v=YOFMhQUNfpE,Hno. Juanito Saucedo,Juanito Saucedo,smart_correction
Jericho Tabernacle,2022-11-13,2022-1113 What House Will You Build Me,https://www.youtube.com/watch?v=3ovbWPLtjHU,Pastor Octavio Ordoñez,Octavio Ordoñez,smart_correction
Jericho Tabernacle,2021-11-19,2021-1119 Christian Fellowship,https://www.youtube.com/watch?v=T64yP97XT30,Bro. Michael Rodriguez,Michael Rodriguez,smart_correction
Jericho Tabernacle,2023-09-20,In Loving Memory of Margarita Ortega,https://www.youtube.com/watch?v=YiQSNixPzRs,Picture Slideshow,Unknown Speaker,healed
Jericho Tabernacle,2023-01-20,2023-0120 Are You Ashamed Of Jesus Christ,https://www.youtube.com/watch?v=h-5qJzKrGdI,Associate Pastor Luis Aguilar,Associate,smart_correction
Jericho Tabernacle,2021-06-18,2021-0618 Dios Identificando Sus Profetas Por Sus Características #7,https://www.youtube.com/watch?v=Tm55ZI1cgr8,Hno. Emmanuel Santos,Emmanuel Santos,smart_correction
Jericho Tabernacle,2025-11-23,El Año Del Jubileo 39 (Israel En Su Patria 31),https://www.youtube.com/watch?v=7Ee-pwgJic4,Hno. Emmanuel Santos,Emmanuel Santos,smart_correction
Jericho Tabernacle,2024-07-15,2024-0714  Zaqueo El Hombre De Negocios #3 (Talentos Y Inversiones),https://www.youtube.com/watch?v=ZymD5TP9PQ4,Hno. Juanito Saucedo,Juanito Saucedo,smart_correction
Jericho Tabernacle,2022-11-06,2022-1106 Poniendo Todas Las Cosas En Equilibrio 5 (Agentes De Dios),https://www.youtube.com/watch?v=cNg_-OSkoBU,Pastor Asociado Luis Aguilar,Asociado Luis Aguilar,smart_correction
Jericho Tabernacle,2022-02-13,2022-0213 Christian Courtship #6 (Marriage Covenant),https://www.youtube.com/watch?v=T-hhdvm1avM,Bro. Luis Aguilar,Luis Aguilar,smart_correction
Jericho Tabernacle,2020-03-29,2020-0329 Seal It With Your Name Your Signature,https://www.youtube.com/watch?v=Yh7SEtNeksQ,Bro John G Alvarado,John G Alvarado,smart_correction
Jericho Tabernacle,2024-05-04,2024-0503 Jezebel,https://www.youtube.com/watch?v=aXgeMLo0dKw,Pastor Octavio Ordoñez,Octavio Ordoñez,smart_correction
Jericho Tabernacle,2023-09-04,2023-0903 Agapao Love #4 (Forgiveness),https://www.youtube.com/watch?v=h2mqgZs-JIw,"Bro. Marcos Santana, Jr.","Marcos Santana, Jr",smart_correction
