status,summary_file,date,title,church,summary_speaker,detected_speaker,redetected_try2,video_url
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-08-14,Church Order 20,,A More Excellent Way 3,Samuel Browning,More Excellent Way,https://www.youtube.com/watch?v=rPq-2N7fXsU
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-08-03,The Reality of Redemption,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=ZDGKNp5WJlQ
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-07-31,Church Order 19,,A More Excellent Way 2,Samuel Browning,More Excellent Way,https://www.youtube.com/watch?v=ZmwMygfsrXI
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-07-17,Church Order 18,,A More Excellent Way 1,Samuel Browning,More Excellent Way,https://www.youtube.com/watch?v=vlZPsVhdsW4
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-07-10,Church Order 17,,Receiving the Benefits of Correction 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=1Os9k1mMnq0
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-07-03,Church Order 16,,Receiving the Benefit of Correction 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=ue7P5A4DMYc
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-06-26,Church Order 15,,Subject to the Spirit 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=Rp1D7syVyck
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-06-15,The Effect of a Momentous Decision,,Samuel Browning (Part 2),Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=xW6wDUeJDIg
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-05-29,Church Order 14,,Subject to the Spirit 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=obEfyT8E5to
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-05-08,Church Order 12,,Placement of Gifts; Growth & Maturity 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=8vrvFq_l6Fs
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-04-10,Church Order 10,,The OTHER Spiritual Gifts 5,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=6xRDYMYV0VE
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-03-30,God's Provided Place of Healing,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=MOW8_OhoTg8
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-03-27,Church Order 8,,The OTHER Spiritual Gifts 3,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=XUN_gqJSOeY
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-03-23,God's Provided Place of Healing,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=oDa7_rEwv7E
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-03-21,Church Order 7,,The OTHER Spiritual Gifts 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=qBIsAVR80ig
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-03-13,Church Order 6,,The OTHER Spiritual Gifts 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=dLdAqf2RcP8
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-03-06,Church Order 5,,The Order of Spiritual Gifts 3,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=CMx86e7TXHc
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-02-27,Church Order 4,,The Order of Spiritual Gifts 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=pNBjs5htr3A
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-02-23,Questions and Answers,,Bro. George Smith,George Smith,George Smith,https://www.youtube.com/watch?v=sMDgB8l3aAw
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-02-23,The Book of Acts,,Bro. George Smith,George Smith,George Smith,https://www.youtube.com/watch?v=fJ0h5Ae_QYA
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-02-06,Church Order Spiritual Leadings,,Time and Place,Samuel Browning,Time,https://www.youtube.com/watch?v=J2rJQtU2RBY
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-01-26,Times of Renewal 2,,Complexes,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=KpDRyE8T3CY
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-01-02,A Savior,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=U5zqYFmuO7M
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-12-29,Overcoming Hindrances,,Part 9,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=O0pOhxuDzeA
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-12-22,Overcoming Hindrances,,Part 8,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=W2H_XVtRnrM
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-12-19,A Savior,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=-yGEivKgz1g
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-12-15,Overcoming Hindrances,,Part 7,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=pPlUThnAFnI
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-12-01,Overcoming Hindrances,,Part 6,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=NcnaninuBBc
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-11-24,Overcoming Hindrances,,Part 5,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=Co7L2CUgYPU
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-11-17,Overcoming Hindrances,,Part 4,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=ymWwVtDk4GA
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-11-14,Being a Help to the Body,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=bABiP4yMZtk
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-10-27,Overcoming Hindrances,,Part 3,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=UMreARuBFFY
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-10-24,Being a Help to the Body,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=2FYT3E30lU8
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-10-13,Overcoming Hinderances,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=xgkWIjXKALs
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-10-03,Framing Reality,,Part 5,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=3SmD83RUQoc
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-09-29,Between Here and There,,The Journey Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=VmQyP2Ih554
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-09-26,Framing Reality,,Part 4,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=N0HpaWQSwko
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-09-01,Accepting the Counsel of The LORD,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=Xx2Hb0jv4oY
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-08-29,Framing Reality,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=O1FVZKqYyiQ
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-08-22,Framing Reality,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=BdyKY-09758
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-08-18,Accepting the Counsel of The LORD,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=TdXaZIBbeYU
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-08-09,Maturity Reflected in Our Thoughts,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=WKG4ui2OnzQ
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-06-27,Overcoming Fear and Its Effects,,Part 3,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=pDBcspNi7gM
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-06-23,Great Men of God,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=9yhRqntciLI
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-06-16,Great Men of God,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=T3VA8FK3epE
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-06-13,My Hope is in The LORD,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=YE4EsTb4lqk
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-06-07,My Hope is in The LORD,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=Hd9CHaS0cMo
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-04-28,The Importance of Feeding and Fellowship,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=PtsYPNz7XME
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-04-26,Overcoming Fear and Its Effects,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=4s6enbuG8nw
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-04-21,The Importance of Feeding and Fellowship,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=hyL4-3DwaOw
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-03-24,The Family,,The Continuity of Life,Samuel Browning,Continuity Life,https://www.youtube.com/watch?v=Xpdq5iWqDWk
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-03-22,Overcoming Worry,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=bOQyqAVpeuo
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-03-17,The Value of Obedience,,Part 3,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=2dZI41bHno0
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-03-10,The Value of Obedience,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=S5uyBtJMXaU
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-03-03,The Value of Obedience,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=gIh4WvPxQh8
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-02-23,Why Should I Worry,,Part 4,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=tm7AVazk7zY
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-02-16,Why Should I Worry,,Part 3,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=GJ8Js3dze8Q
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-02-02,Why Should I Worry,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=QxQFZX6bMmI
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-01-28,The Family,,A Lovely Home,Samuel Browning,Lovely Home,https://www.youtube.com/watch?v=L4B0uzCQj2M
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-01-29,The Family,,A Lovely Home,Samuel Browning,Lovely Home,https://www.youtube.com/watch?v=K4CyLyNu94E
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-01-26,Why Should I Worry,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=-C5smOxz6FU
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-01-19,Having the Right Perception,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=7dI9DqpYF7s
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2024-01-12,Having the Right Perception,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=ms5z2LEMvMY
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-12-17,What Shall We Say to These Things,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=j0r9O4k6dfA
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-12-15,What Shall We Say to These Things,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=ZNq8R2xHd3Q
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-11-19,Trapped,,Bro. Jonathan Sanger,Jonathan Sanger,Jonathan Sanger,https://www.youtube.com/watch?v=PUWtHozoCVE
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-11-12,Living in the Realms of Grace,,2 of 2,Samuel Browning,Grace,https://www.youtube.com/watch?v=brcHg7oHppA
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-11-12,Living in the Realms of Grace,,1 of 2,Samuel Browning,Grace,https://www.youtube.com/watch?v=ezt-yvchFzw
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-11-10,In His Hands 6,,Assurance,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=2dLQq3wUTMI
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-10-27,In His Hands,,Part 5,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=vapq1oCR0do
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-10-06,In His Hands,,Part 3,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=T9jZk8NOvaI
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-10-02,Grace to the Humble,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=r1rN4feHJF0
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-09-29,In His Hands,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=KuraAnX3N-w
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-09-24,Grace to the Humble,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=YCCJHk8URgM
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-09-22,In His Hands,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=oxcYJ0z_les
UnknownNeedsName,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-09-15,When Faith Was Met - Darrell Ward,Believer's Spoken Word Tabernacle,Unknown Speaker,Darrell Ward,Darrell Ward,https://www.youtube.com/watch?v=KK1Xip9S3RE
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-08-27,Grace Appearing,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=ia1L38NT9uE
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-08-20,Grace Appearing,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=000ctRAC7A8
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-08-18,Faithful,,Part 4,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=8W0o-DncVcQ
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-08-11,Faithful,,Part 3,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=3L1HypBbE-U
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-08-04,Faithful,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=yjPZ6-Db5yI
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-07-28,Faithful,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=VPLZ1YXwjLk
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-07-14,Faith of the Faithful,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=Z4OwVkp-dYA
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-06-30,Faith of the Faithful,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=5WmefYO8zfY
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-06-19,Established,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=CNNMTj03Bxs
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-06-11,Established,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=EJzVAm36vDU
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-05-28,God's Choice,,Part 3,Nathan Bryant,Nathan Bryant,https://www.youtube.com/watch?v=ATlwP_pP8ao
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-05-27,God's Choice,,Part 2,Nathan Bryant,Nathan Bryant,https://www.youtube.com/watch?v=pxwTDDAeU3c
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-05-27,God's Choice,,Part 1,Nathan Bryant,Nathan Bryant,https://www.youtube.com/watch?v=mxgTPZz186Y
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-03-10,Battling to Remain Useful,,Samuel Browning [Part 2 of 2],Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=MG0qvx27wzk
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-03-10,Battling to Remain Useful,,Samuel Browning [1 of 2],Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=JGk6JKnzrAk
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-03-05,Principles of Deliverance,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=aojA8G4imrk
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-02-05,Oneness with God Working in You,,Part 3,Samuel Browning,God Working You,https://www.youtube.com/watch?v=WNR_fERxK2A
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-01-29,Oneness with God Working in You,,Part 2,Samuel Browning,God Working You,https://www.youtube.com/watch?v=gP_0m_xuzH4
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2023-01-22,Oneness with God Working in You,,Part 1,Samuel Browning,God Working You,https://www.youtube.com/watch?v=RyJfAH6nD8I
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2022-06-19,Parenthood,,"I Write Unto You, Fathers",Samuel Browning,I Write You,https://www.youtube.com/watch?v=qtHaKE6f9Mc
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2022-05-08,"Responsibility, Dedication & Blessing 2",,Offering,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=iF91szANQ1A
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2022-04-01,Communion,,Wait on the Lord,Samuel Browning,Wait Lord,https://www.youtube.com/watch?v=DQfSbFUG-WM
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2022-03-25,Communion,,Entering Into Fellowship 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=5pJeC65usCE
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2022-03-20,Discerning the Time,,It's Time to Leave 3,Samuel Browning,It'S Time Leave,https://www.youtube.com/watch?v=VRhHfq-HZyI
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2022-03-18,Communion,,Entering into Fellowship,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=MkYzUcxMPr4
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2022-03-10,Communtion,,Desire for Fellowship,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=7p-VXkTLTzM
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2021-08-06,Honor in the Home 3,,Samuel Browning (Part 2),Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=5NAEFUYa-OA
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2021-04-25,Built on The Rock pt. 2,,Bro. Ronnie Long,Ronnie Long,Ronnie Long,https://www.youtube.com/watch?v=QlfpbxRB5Bw
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2021-04-25,Built on The Rock pt.1,,Bro. Ronnie Long,Ronnie Long,Ronnie Long,https://www.youtube.com/watch?v=TpfJp1KniAc
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2021-04-04,Changing the Narrative,,Bro Nathan Erickson,Nathan Erickson,Nathan Erickson,https://www.youtube.com/watch?v=KgETRektl2U
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2021-02-21,Redemption of Sons and Daughters 5,,Bro. Samuel Browning,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=HRZT7vv0ecY
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2021-01-22,Discerning the Love of God 9,,Bro. Samuel Browning,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=LZoyddkGMZU
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2021-01-03,Operating by the Faith of the Hour 5,,Bro. Samuel Browning,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=uVoBQTT8Idw
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2020-11-12,An Experience That Holds Out,,Bro. Andrew Glover,Andrew Glover,Andrew Glover,https://www.youtube.com/watch?v=w2UxCIMAOPY
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2020-11-08,When the Enemy Comes Like a Flood,,Bro. Wayne Lawson,Wayne Lawson,Wayne Lawson,https://www.youtube.com/watch?v=18pAfVNn5Fs
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2020-09-14,The Household of Faith,,Bro. Andrew Glover,Andrew Glover,Andrew Glover,https://www.youtube.com/watch?v=EHs-Pug0bk4
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2020-09-13,An Angel to Keep Thee in The Way,,Bro. Andrew Glover,Andrew Glover,Andrew Glover,https://www.youtube.com/watch?v=mulEjVwDf3c
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2020-08-28,The Time is at Hand,,Bro. Wayne Lawson,Wayne Lawson,Wayne Lawson,https://www.youtube.com/watch?v=ol8iRQEJh1c
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2020-08-07,Not Being Offended in Him,,Bro. Brandyn Sinacola,Brandyn Sinacola,Brandyn Sinacola,https://www.youtube.com/watch?v=3Z-RgwLbdic
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2020-07-24,Set Your Affection,,Bro. Jerry Browning,Jerry Browning,Jerry Browning,https://www.youtube.com/watch?v=so4L-pkSAow
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2020-07-19,Knowing Who You Are,,Bro. Jerry Browning,Jerry Browning,Jerry Browning,https://www.youtube.com/watch?v=lyvW_-h3t3M
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2020-07-17,The Strength of The True Church,,Bro. Andrew Glover,Andrew Glover,Andrew Glover,https://www.youtube.com/watch?v=oXXYmrihJpU
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2020-05-15,A Prisoner of Jesus Christ,,5,One Body,One Body,https://www.youtube.com/watch?v=RNHkO5xjqR8
